Comment,Designator,Footprint,LCSC,Quantity
4*4*1.7,SW401,SW-SMD_4P-L5.2-W5.2-P3.70-LS6.5,C10852,1
220Ω,"R205,R208,R401,R406",R0603,C1226,4
10118194-0001LF,J1401,MICRO-USB-SMD_10118194-0001LF,C132563,1
SS310_C14281,D201,SMB_L4.6-W3.6-LS5.3-R-RD,C14281,1
MCP2515-I/ST,U302,TSSOP-20_L6.5-W4.4-P0.65-LS6.4-BL,C15193,1
10uF / 25V,"C204,C206,C803",C0805,C15850,3
100nF,"C1401,C1601,C1702,C1703,C205,C207,C301,C302,C306,C802,C805",C0603,C1590,11
22pF,"C209,C213,C304,C305",C0805,C1804,4
BC817-40,"Q1401,Q1402",SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR,C181151,2
GH-13AB,J1501,CONN-SMD_GH-13AB,C20617469,1
BZT52C3V6_C2113,ZD1201,SOD-123_L2.8-W1.8-LS3.7-RD,C2113,1
0Ω,R217,R0603,C21189,1
1k,"R1001,R1101,R601,R901",R0603,C21190,4
120Ω,"R1701,R303",R0603,C22787,2
220k,"R204,R207",R0603,C22961,2
220Ω,"R408,R409,R410,R411",R0603,C22962,4
27k,R1201,R0603,C22967,1
500Ω,"R1401,R1405",R0603,C23065,2
4k7,"R1403,R806,R807",R0603,C23162,3
49.9k,"R203,R206",R0603,C23184,2
560Ω,R202,R0603,C23204,1
10k,"R1002,R1102,R1202,R1601,R304,R402,R403,R405,R407,R412,R801,R802,R803,R804,R805,R808,R809,R902",R0603,C25804,18
JK-NSMD075-13.2,F202,F1206,C2680509,1
JK-MSMD020-60V,F201,F1812,C2686250,1
Phoenix_Connetor_07x2pin_toWire,J999,Phonix_Connector_07x2pin_toWire,C2923058,1
KF2EDGKRG-3.5-2*7P,J503,CONN-TH_14P-P3.50_KEFA_KF2EDGKRG-3.5-2X7P,C2923184,1
ESP32-WROOM-32E-N4,U801,WIFI-SMD_ESP32-WROOM-32E-A,C2973652,1
W25Q512JVEIQ,U1601,WSON-8_L8.0-W6.0-P1.27-TL-EP,C2986165,1
CH340X,U1401,MSOP-10_L3.0-W3.0-P0.50-LS5.0-BL,C3035748,1
JY2302,"Q1001,Q1101,Q601,Q901",SOT-23-3_L2.9-W1.3-P0.95-LS2.4-BR,C3038095,4
1.8kΩ,"R1003,R1103,R201,R903",R0603,C4177,4
2k2,"R1402,R1404",R0603,C4190,2
10uF / 63V,C201,C1210,C437568,1
22uF,"C210,C211,C214,C215,C801",C0805,C45783,5
U7812-500,U201,PWRM-TH_3P-L11.6-W9.0-P2.54,C5199050,1
1989780,J_RFID_LED1,CONN-TH_6P-P2.50_1989780,C5443580,1
22uF / 6.3V,"C208,C212",C0603,C59461,2
MCP23017_SO,U802,SOIC-28W_7.5x17.9mm_P1.27mm,C629440,1
10uF / 16V,"C202,C203",C0805,C650950,2
XL1EL89CSI-111YLC-8M,X301,CRYSTAL-SMD_4P-L5.0-W3.2-BL-7I12288F20UCG,C7471624,1
SY8089AAAC,"U203,U204",SOT-23-5_L3.0-W1.7-P0.95-LS2.8-BR,C78988,2
2.2uH,"L201,L202",IND-SMD_L3.0-W3.0_NR3010,C86423,2
K7805-500R2_C909663,U202,PWRM-TH_K78XX-500R3,C909663,1
XL-1608SYGC-06,"LED12V1,LED3V3,LED3V3D1,LED5V1,LED_Error1,LED_Learn1,LED_OFF1,LED_RD1,LED_RX1,LED_RX2,LED_RX3,LED_RX4,LED_SOC1",LED0603-RD_GREEN,C965805,13
1N5819WS,D1402,D_SOD-323,,1
TJA1051T-3,U301,SOIC-8_3.9x4.9mm_P1.27mm,,1
TJA1051T-3,U1701,SOIC-8_3.9x4.9mm_P1.27mm,,1
1N5819WS,D1401,D_SOD-323,,1
BAT54C,D1404,SOT-23,,1
1N5819WS,D1403,D_SOD-323,,1
