Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1401,100nF,C0603,177.68,-91.6,0.0,top
C1601,100nF,C0603,151.54,-50.96,180.0,top
C1702,100nF,C0603,158.07,-89.5,90.0,top
C1703,100nF,C0603,161.17,-83.65,90.0,top
C201,10uF / 63V,C1210,124.65,-79.79,180.0,top
C202,10uF / 16V,C0805,125.45,-93.29,180.0,top
C203,10uF / 16V,C0805,125.45,-90.59,180.0,top
C204,10uF / 25V,C0805,113.97,-99.3,180.0,top
C205,100nF / 25V,C0603,113.37,-101.6,180.0,top
C206,10uF / 25V,C0805,113.97,-103.8,180.0,top
C207,100nF / 25V,C0603,113.47,-106.0,180.0,top
C208,22uF / 6.3V,C0603,101.91,-92.89,-90.0,top
C209,22pF,C0805,108.6,-89.58,180.0,top
C210,22uF,C0805,104.81,-81.78,180.0,top
C211,22uF,C0805,109.94,-81.76,0.0,top
C212,22uF / 6.3V,C0603,107.66,-76.96,90.0,top
C213,22pF,C0805,107.71,-72.96,-90.0,top
C214,22uF,C0805,109.84,-72.95,-90.0,top
C215,22uF,C0805,111.94,-72.95,-90.0,top
C301,100nF,C0603,168.445,-89.17,90.0,top
C302,100nF,C0603,168.505,-92.63,90.0,top
C304,22pF,C0805,179.73,-95.44,90.0,top
C305,22pF,C0805,179.74,-99.59,-90.0,top
C306,100nF,C0603,167.0525,-85.02,-90.0,top
C801,22uF,C0805,182.06,-56.73,0.0,top
C802,100nF,C0603,178.45,-54.89,90.0,top
C803,10 uF,C0805,176.46,-53.06,-90.0,top
C805,100nF,C0603,151.58,-77.88,-90.0,top
D1401,1N5819WS,D_SOD-323,174.4,-52.7425,-90.0,top
D1402,1N5819WS,D_SOD-323,176.78,-82.2675,90.0,top
D1403,1N5819WS,D_SOD-323,178.4,-78.9125,-90.0,top
D1404,BAT54C,SOT-23,159.7125,-79.5,-90.0,top
D201,SS310_C14281,SMB_L4.6-W3.6-LS5.3-R-RD,143.5,-84.16,-90.0,top
F201,JK-MSMD020-60V,F1812,144.2875,-91.695,90.0,top
F202,JK-NSMD075-13.2,F1206,124.95,-87.79,180.0,top
J1401,10118194-0001LF,MICRO-USB-SMD_10118194-0001LF,181.6375,-86.8,90.0,top
J1501,GH-13AB,CONN-SMD_GH-13AB,163.2,-53.0175,180.0,top
J503,KF2EDGKRG-3.5-2*7P,CONN-TH_14P-P3.50_KEFA_KF2EDGKRG-3.5-2X7P,163.55,-97.475,0.0,top
J999,Phoenix_Connetor_07x2pin_toWire,Phonix_Connector_07x2pin_toWire,151.51,-145.9625,0.0,top
J_RFID_LED1,1989780,CONN-TH_6P-P2.50_1989780,141.61,-105.11,0.0,top
L201,2.2uH,IND-SMD_L3.0-W3.0_NR3010,104.3,-86.205,90.0,top
L202,2.2uH,IND-SMD_L3.0-W3.0_NR3010,104.82,-72.075,90.0,top
LED12V1,XL-1608SYGC-06,LED0603-RD_GREEN,125.75,-82.79,0.0,top
LED3V3,XL-1608SYGC-06,LED0603-RD_GREEN,108.7,-91.68,0.0,top
LED3V3D1,XL-1608SYGC-06,LED0603-RD_GREEN,102.145,-70.2,-90.0,top
LED5V1,XL-1608SYGC-06,LED0603-RD_GREEN,113.67,-109.9,0.0,top
LED_Error1,XL-1608SYGC-06,LED0603-RD_GREEN,139.12,-60.45,0.0,top
LED_Learn1,XL-1608SYGC-06,LED0603-RD_GREEN,138.86,-57.41,0.0,top
LED_OFF1,XL-1608SYGC-06,LED0603-RD_GREEN,130.8825,-74.18,0.0,top
LED_RD1,XL-1608SYGC-06,LED0603-RD_GREEN,134.46,-73.5325,-90.0,top
LED_RX1,XL-1608SYGC-06,LED0603-RD_GREEN,103.0525,-61.1,0.0,top
LED_RX2,XL-1608SYGC-06,LED0603-RD_GREEN,103.0525,-57.93,0.0,top
LED_RX3,XL-1608SYGC-06,LED0603-RD_GREEN,103.0525,-54.71,0.0,top
LED_RX4,XL-1608SYGC-06,LED0603-RD_GREEN,103.0525,-51.46,0.0,top
LED_SOC1,XL-1608SYGC-06,LED0603-RD_GREEN,148.7625,-91.12,0.0,top
Q1001,JY2302,SOT-23-3_L2.9-W1.3-P0.95-LS2.4-BR,141.2,-77.33,0.0,top
Q1101,JY2302,SOT-23-3_L2.9-W1.3-P0.95-LS2.4-BR,148.33,-80.94,90.0,top
Q1401,BC817-40,SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR,184.14,-78.66,90.0,top
Q1402,BC817-40,SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR,181.08,-80.75,90.0,top
Q601,JY2302,SOT-23-3_L2.9-W1.3-P0.95-LS2.4-BR,130.41,-105.11,180.0,top
Q901,JY2302,SOT-23-3_L2.9-W1.3-P0.95-LS2.4-BR,131.04,-69.64,180.0,top
R1001,1k,R0603,145.05,-78.28,0.0,top
R1002,10k,R0603,144.63,-76.42,180.0,top
R1003,1.8kΩ,R0603,134.16,-76.11,0.0,top
R1101,1k,R0603,149.06,-77.37,90.0,top
R1102,10k,R0603,147.46,-77.36,-90.0,top
R1103,1.8kΩ,R0603,148.74,-88.87,180.0,top
R1201,27k,R0603,136.32,-68.85,-90.0,top
R1202,10k,R0603,138.01,-68.86,90.0,top
R1401,500Ω,R0603,176.55,-79.09,90.0,top
R1402,2k2,R0603,181.01,-77.6,0.0,top
R1403,4k7,R0603,181.06,-91.75,0.0,top
R1404,2k2,R0603,184.21,-81.31,0.0,top
R1405,500Ω,R0603,178.62,-82.07,90.0,top
R1601,10k,R0603,142.79,-56.69,-90.0,top
R1701,120Ω,R0603,161.7275,-93.59,0.0,top
R201,1.8kΩ,R0603,125.75,-84.99,180.0,top
R202,560Ω,R0603,113.57,-107.9,180.0,top
R203,49.9k,R0603,108.6,-85.38,0.0,top
R204,220k,R0603,108.6,-87.38,180.0,top
R205,220Ω,R0603,108.7,-93.68,0.0,top
R206,49.9k,R0603,110.37,-77.75,0.0,top
R207,220k,R0603,110.41,-75.98,180.0,top
R208,220Ω,R0603,104.795,-69.175,0.0,top
R216,0Ω,R0603,115.8,-72.66,-90.0,top
R217,0Ω,R0603,114.11,-72.67,90.0,top
R303,120Ω,R0603,172.26,-93.96,0.0,top
R304,10kΩ,R0603,166.98,-81.66,90.0,top
R401,220Ω,R0603,135.26,-57.45,0.0,top
R402,10K,R0603,123.63,-56.25,-90.0,top
R403,10k,R0603,126.69,-59.5,-90.0,top
R404,10k,R0603,126.72,-56.23,90.0,top
R405,10k,R0603,123.66,-60.41,90.0,top
R406,220Ω,R0603,135.29,-60.33,0.0,top
R407,10K,R0603,120.24,-60.4,90.0,top
R408,220Ω,R0603,106.72,-61.1,180.0,top
R409,220Ω,R0603,106.72,-57.93,180.0,top
R410,220Ω,R0603,106.72,-54.73,180.0,top
R411,220Ω,R0603,106.72,-51.46,180.0,top
R412,10k,R0603,141.86,-49.46,180.0,top
R601,1k,R0603,130.25,-102.5,0.0,top
R801,10kΩ,R0603,157.19,-77.28,90.0,top
R802,10kΩ,R0603,162.47,-78.73,90.0,top
R803,10kΩ,R0603,166.98,-78.6,90.0,top
R804,10kΩ,R0603,159.43,-75.65,-90.0,top
R805,10kΩ,R0603,158.26,-59.31,-90.0,top
R806,4.7kΩ,R0603,155.65,-77.31,-90.0,top
R807,4.7kΩ,R0603,154.06,-77.33,-90.0,top
R808,10kΩ,R0603,155.05,-62.86,0.0,top
R809,10k,R0603,178.39,-51.84,-90.0,top
R901,1k,R0603,130.74,-67.18,0.0,top
R902,10k,R0603,130.98,-72.16,180.0,top
R903,1.8kΩ,R0603,130.89,-76.0,180.0,top
SW401,4*4*1.7,SW-SMD_4P-L5.2-W5.2-P3.70-LS6.5,137.89,-53.63,0.0,top
U1401,CH340X,MSOP-10_L3.0-W3.0-P0.50-LS5.0-BL,177.717332,-87.389,0.0,top
U1601,W25Q512JVEIQ,WSON-8_L8.0-W6.0-P1.27-TL-EP,148.35,-55.31,180.0,top
U1701,TJA1051T-3,SOIC-8_3.9x4.9mm_P1.27mm,161.735,-89.1,-90.0,top
U201,U7812-500,PWRM-TH_3P-L11.6-W9.0-P2.54,137.59,-85.49,-90.0,top
U202,K7805-500R2_C909663,PWRM-TH_K78XX-500R3,104.79,-104.48,90.0,top
U203,SY8089AAAC,SOT-23-5_L3.0-W1.7-P0.95-LS2.8-BR,104.2,-90.48,90.0,top
U204,SY8089AAAC,SOT-23-5_L3.0-W1.7-P0.95-LS2.8-BR,104.1,-76.39,90.0,top
U301,TJA1051T-3,SOIC-8_3.9x4.9mm_P1.27mm,172.165,-89.625,-90.0,top
U302,MCP2515-I/ST,TSSOP-20_L6.5-W4.4-P0.65-LS6.4-BL,172.24,-81.82,0.0,top
U801,ESP32-WROOM-32E-N4,WIFI-SMD_ESP32-WROOM-32E-A,169.0525,-66.93,-90.0,top
U802,MCP23017_SO,SOIC-28W_7.5x17.9mm_P1.27mm,149.32,-69.64,90.0,top
X301,XL1EL89CSI-111YLC-8M,CRYSTAL-SMD_4P-L5.0-W3.2-BL-7I12288F20UCG,183.145,-96.64,90.0,top
ZD1201,BZT52C3V6_C2113,SOD-123_L2.8-W1.8-LS3.7-RD,137.24,-66.25,0.0,top
